[2025-02-10 11:14:00,108] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:14:00,109] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:14:00,109] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:14:00,109] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:14:00,110] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:14:09,765] INFO in main: 应用关闭
[2025-02-10 11:14:10,758] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:14:10,758] INFO in main: 应用启动成功
[2025-02-10 11:14:12,276] INFO in main: 应用关闭
[2025-02-10 11:20:08,841] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:20:08,841] INFO in main: 应用启动成功
[2025-02-10 11:20:15,022] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:20:15,136] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:20:17,589] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:20:17,590] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:20:17,590] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:20:17,590] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:20:17,591] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:20:50,461] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:20:50,461] INFO in main: 应用启动成功
[2025-02-10 11:20:54,147] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:20:54,214] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:20:58,154] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:20:58,155] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:20:58,155] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:20:58,155] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:20:58,156] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:21:17,115] INFO in main: 应用关闭
[2025-02-10 11:22:18,816] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:22:18,816] INFO in main: 应用启动成功
[2025-02-10 11:22:23,029] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:22:23,076] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:22:25,876] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:22:25,876] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:22:25,876] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:22:25,877] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:22:25,877] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:22:53,319] INFO in main: 应用关闭
[2025-02-10 11:26:04,105] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:26:04,105] INFO in main: 应用启动成功
[2025-02-10 11:26:09,717] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:26:09,838] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:26:11,644] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:26:11,690] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.00s
[2025-02-10 11:26:13,206] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:26:13,206] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:26:13,206] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:26:13,207] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:26:13,207] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:26:29,942] INFO in main: 应用关闭
[2025-02-10 11:35:30,277] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:35:30,277] INFO in main: 应用启动成功
[2025-02-10 11:35:33,490] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:35:33,597] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:35:36,672] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:35:36,731] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.00s
[2025-02-10 11:35:39,422] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:35:39,423] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:35:39,423] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:35:39,423] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:35:39,424] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:35:55,755] INFO in main: 应用关闭
[2025-02-10 11:39:00,973] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:39:00,974] INFO in main: 应用启动成功
[2025-02-10 11:39:03,365] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:39:03,430] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:39:05,322] ERROR in department_service: 获取所有部门失败: Column expression expected for argument 'remote_side'; got FieldInfo(annotation=Union[int, NoneType], required=False).
[2025-02-10 11:39:05,322] ERROR in department_service: 获取部门树失败: 500: 获取部门列表失败
[2025-02-10 11:39:05,322] ERROR in auth: 获取部门列表失败: 500: 获取部门树失败
[2025-02-10 11:39:05,323] ERROR in session: 数据库会话异常: 500: 500: 获取部门树失败
[2025-02-10 11:39:05,323] INFO in response: 请求处理完成 - 路径: /api/v1/auth/department 方法: GET 处理时间: 0.04s
[2025-02-10 11:39:12,227] INFO in main: 应用关闭
[2025-02-10 11:40:49,354] INFO in monitor: 指标服务器启动成功 - 端口: 9090
[2025-02-10 11:40:49,354] INFO in main: 应用启动成功
[2025-02-10 11:40:52,805] INFO in response: 请求处理完成 - 路径: /docs 方法: GET 处理时间: 0.00s
[2025-02-10 11:40:52,875] INFO in response: 请求处理完成 - 路径: /openapi.json 方法: GET 处理时间: 0.01s
[2025-02-10 11:40:54,622] ERROR in cache: 序列化数据失败: __pydantic_private__
[2025-02-10 11:40:54,623] ERROR in session: 数据库会话异常: 2 validation errors:
